pop2024,country,smokingRatesByCountry_rateBoth,smokingRatesByCountry_rateMale,smokingRatesByCountry_rateFemale
1441719852,India,27,42,12.1
1425178782,China,24.7,47.7,1.8
341814420,United States,25.1,30.9,19.3
279798049,Indonesia,37.9,70.5,5.3
245209815,Pakistan,20,33.6,6.4
229152217,Nigeria,4.8,9,0.5
217637297,Brazil,16.5,21.5,11.5
174701211,Bangladesh,39.1,60.6,17.7
143957079,Russia,28.3,40.9,15.7
129719719,Ethiopia,4.6,8.3,0.9
129388467,Mexico,13.9,21.2,6.5
122631432,Japan,21.9,33.2,10.5
119106224,Philippines,24.3,41.6,7
114484252,Egypt,21.4,42.3,0.4
89809781,Iran,14,24.6,3.5
86260417,Turkey,29.3,41.5,17
83252474,Germany,28,29.9,26
71885799,Thailand,22.8,42.5,3.1
69419073,Tanzania,13.3,23.5,3.1
67961439,United Kingdom,19.2,21.1,17.3
64881830,France,34.6,36,33.2
61020221,South Africa,31.4,46.8,16
58697744,Italy,23.4,27.1,19.6
56203030,Kenya,11.8,20.8,2.8
54964694,Myanmar,45.5,70.2,20.8
52340774,Colombia,7.9,12.2,3.7
51741963,South Korea,22,38.2,5.9
49924252,Uganda,9.8,15.5,4
47473373,Spain,27.9,29.1,26.7
46523657,Iraq,22.2,40.8,3.6
46278751,Algeria,18.8,36.3,1.4
46057866,Argentina,21.8,28.2,15.4
40221726,Poland,26,30.3,21.6
39107046,Canada,17.5,22.7,12.4
38211459,Morocco,14.7,28.6,0.9
37937821,Ukraine,25.5,41,9.9
37473929,Saudi Arabia,16.6,31.2,2
35673804,Uzbekistan,12.3,23.3,1.3
35219853,Yemen,20.9,32.5,9.3
34858402,Mozambique,14.4,23.4,5.4
34777522,Ghana,3.7,7,0.4
34683444,Peru,9.6,15.6,3.6
34671895,Malaysia,21.8,42.7,1
31240315,Nepal,31.9,48.6,15.3
31056610,Madagascar,28.9,46.9,11
29603302,Ivory Coast,13,24.3,1.6
29394433,Cameroon,9.3,17.5,1.2
28238972,Niger,8.6,16.3,0.8
26699482,Australia,16.2,18.7,13.6
26244582,North Korea,18.8,37.5,0
24015789,Mali,12,22.4,1.7
23840247,Burkina Faso,16,24.9,7.2
21949268,Sri Lanka,22.9,43.2,2.7
21475962,Malawi,12.8,20.4,5.2
21134695,Zambia,14.7,25,4.4
19828165,Kazakhstan,24.4,42.2,6.6
19658839,Chile,44.7,49.2,40.3
19618996,Romania,25.5,35.2,15.8
18847148,Chad,11.8,21.3,2.3
18221567,Senegal,9.1,17.4,0.7
17671125,Netherlands,23.4,25.6,21.3
17121847,Cambodia,21.8,37.4,6.3
17020321,Zimbabwe,13.9,26.5,1.3
14414910,Rwanda,13.3,19.7,6.9
14080072,Benin,7.2,12.4,1.9
13591657,Burundi,12.6,18.8,6.4
12564689,Tunisia,26,49.1,2.9
11867030,Haiti,8.3,13.3,3.3
11715774,Belgium,25,26.9,23.1
11434005,Dominican Republic,9.4,11.2,7.5
11174587,Cuba,27.1,39.7,14.5
10673669,Sweden,8,6,8
10462904,Azerbaijan,19.6,39,0.2
10302720,Greece,39.1,45.3,32.8
10223349,Portugal,27.9,33.3,22.4
9994993,Hungary,30.6,34.8,26.4
9591853,United Arab Emirates,18.2,35.6,0.8
9455037,Belarus,26.6,42.8,10.4
9311652,Israel,25.5,35.2,15.8
9260864,Togo,7.6,13.5,1.6
8977972,Sierra Leone,19.8,31,8.5
8977139,Austria,29.1,30.4,27.7
8851431,Switzerland,25.1,27.8,22.5
7736681,Laos,37.8,60.1,15.5
7097028,Serbia,40.6,40,41.2
6947270,Paraguay,12.8,20.8,4.7
6839606,Kyrgyzstan,27.9,52.5,3.4
6618615,Bulgaria,38.9,42.5,35.3
6396289,El Salvador,12.7,22.8,2.5
6244547,Republic of the Congo,16.1,30.1,2
6052709,Singapore,16.5,27.8,5.1
5939695,Denmark,18.6,18.4,18.7
5702832,Slovakia,32.3,38.6,26
5549886,Finland,19.7,21,18.3
5536949,Liberia,8.4,15.1,1.8
5514477,Norway,13,15.5,10.5
5269939,New Zealand,14.8,16.1,13.5
5246714,Costa Rica,9.8,14.7,5
5219044,Lebanon,42.6,49.4,35.9
5089478,Ireland,23.6,26.1,21.2
4713553,Oman,9.6,18.5,0.7
4527961,Panama,6.9,11.1,2.7
4349380,Kuwait,22.1,40.9,3.4
3986627,Croatia,36.6,37.9,35.3
3817651,Eritrea,7.2,14.2,0.3
3717425,Georgia,29.7,54.2,5.2
3493629,Mongolia,27.6,49.1,6.2
3423316,Uruguay,21.8,25.2,18.4
3329865,Moldova,25.3,44.6,6
3194378,Bosnia and Herzegovina,38.3,46.3,30.2
2841803,Gambia,14.4,27.3,1.5
2826020,Albania,29.2,50.5,7.9
2824738,Jamaica,11,17.7,4.2
2777979,Armenia,26.7,51.8,1.6
2737061,Qatar,14,26.7,1.3
2719694,Botswana,23.7,37.3,10.1
2692798,Lithuania,27.1,35.3,19
2645805,Namibia,17.9,28.4,7.4
2356083,Lesotho,29.7,54.7,4.6
2118965,Slovenia,22.7,25.1,20.3
1810240,Latvia,36.7,49.5,24
1498712,Bahrain,25.1,41.5,8.6
1379883,Timor-Leste,38.2,65.8,10.7
1319041,Estonia,30.5,36.9,24.1
1301978,Mauritius,26.9,48.3,5.4
1268467,Cyprus,36.7,50.1,23.3
1222075,Eswatini,10.7,19.1,2.2
943072,Fiji,26.7,42.3,11.1
867605,Comoros,19.5,29.9,9.2
819594,Guyana,12.2,22.1,2.2
756673,Solomon Islands,37.9,55.9,19.9
661594,Luxembourg,21.7,23.6,19.8
536740,Malta,25.1,27.8,22.5
455858,Brunei,15.5,28.6,2.5
415223,Bahamas,10.9,18.6,3.2
377689,Iceland,13.8,13.9,13.7
342325,Vanuatu,24.1,45,3.3
282309,Barbados,8.7,15,2.3
236381,Sao Tome and Principe,5.4,9.5,1.4
228966,Samoa,28.9,40.8,16.9
135763,Kiribati,52,68.6,35.5
108683,Tonga,30.2,48.4,12.1
108263,Seychelles,21.1,35.3,6.9
80341,Andorra,33.8,38.1,29.5
18051,Palau,23.7,36.3,11.2
17072,Cook Islands,26.6,31.3,21.8
12884,Nauru,52.1,51.7,52.6
11478,Tuvalu,48.7,66,31.4
TRUE,8.795747847,,,
