Year,Population
31-12-1950,1980524
31-12-1951,2075503
31-12-1952,2173597
31-12-1953,2275010
31-12-1954,2380472
31-12-1955,2490487
31-12-1956,2606293
31-12-1957,2728466
31-12-1958,2855692
31-12-1959,2985050
31-12-1960,3114671
31-12-1961,3231758
31-12-1962,3331188
31-12-1963,3424353
31-12-1964,3514763
31-12-1965,3602029
31-12-1966,3684665
31-12-1967,3762177
31-12-1968,3834043
31-12-1969,3898387
31-12-1970,3955072
31-12-1971,4028605
31-12-1972,4128333
31-12-1973,4234754
31-12-1974,4342773
31-12-1975,4451220
31-12-1976,4558873
31-12-1977,4664903
31-12-1978,4768798
31-12-1979,4872752
31-12-1980,4978544
31-12-1981,5077742
31-12-1982,5166905
31-12-1983,5252127
31-12-1984,5333571
31-12-1985,5411680
31-12-1986,5492791
31-12-1987,5578533
31-12-1988,5665617
31-12-1989,5752708
31-12-1990,5838574
31-12-1991,5923447
31-12-1992,6007685
31-12-1993,6089808
31-12-1994,6168707
31-12-1995,6243859
31-12-1996,6333444
31-12-1997,6441236
31-12-1998,6546057
31-12-1999,6641965
31-12-2000,6731195
31-12-2001,6801542
31-12-2002,6848847
31-12-2003,6886457
31-12-2004,6915998
31-12-2005,6936874
31-12-2006,6960595
31-12-2007,7001456
31-12-2008,7050677
31-12-2009,7094595
31-12-2010,7132438
31-12-2011,7175364
31-12-2012,7234060
31-12-2013,7296827
31-12-2014,7352183
31-12-2015,7399838
31-12-2016,7435927
31-12-2017,7461519
31-12-2018,7481555
31-12-2019,7496122
31-12-2020,7500958
31-12-2021,7494578
31-12-2022,7488865
31-12-2023,7491609
31-12-2024,7496681
31-12-2025,7499791
31-12-2026,7500962
31-12-2027,7500208
31-12-2028,7497463
31-12-2029,7492674
31-12-2030,7485887
31-12-2031,7476879
31-12-2032,7465577
31-12-2033,7452152
31-12-2034,7436708
31-12-2035,7419486
31-12-2036,7400466
31-12-2037,7379746
31-12-2038,7357445
31-12-2039,7333541
31-12-2040,7308138
31-12-2041,7281091
31-12-2042,7252429
31-12-2043,7222400
31-12-2044,7191087
31-12-2045,7158430
31-12-2046,7124458
31-12-2047,7089171
31-12-2048,7052591
31-12-2049,7014690
31-12-2050,6975391
31-12-2051,6934581
31-12-2052,6892056
31-12-2053,6847847
31-12-2054,6802104
31-12-2055,6754881
31-12-2056,6706171
31-12-2057,6656324
31-12-2058,6605570
31-12-2059,6553992
31-12-2060,6501772
31-12-2061,6449159
31-12-2062,6396475
31-12-2063,6343711
31-12-2064,6291079
31-12-2065,6238727
31-12-2066,6186619
31-12-2067,6134739
31-12-2068,6082994
31-12-2069,6031569
31-12-2070,5980534
31-12-2071,5929817
31-12-2072,5879443
31-12-2073,5829598
31-12-2074,5780261
31-12-2075,5731410
31-12-2076,5683203
31-12-2077,5635597
31-12-2078,5588591
31-12-2079,5542351
31-12-2080,5496976
31-12-2081,5452529
31-12-2082,5409182
31-12-2083,5367025
31-12-2084,5326130
31-12-2085,5286408
31-12-2086,5247833
31-12-2087,5210555
31-12-2088,5174633
31-12-2089,5140078
31-12-2090,5106917
31-12-2091,5075115
31-12-2092,5044672
31-12-2093,5015688
31-12-2094,4988166
31-12-2095,4962066
31-12-2096,4937404
31-12-2097,4914239
31-12-2098,4892458
31-12-2099,4871892
31-12-2100,4852441
